Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 20
Fitness mejor solución:    5638.0
Costo promedio (Población): 5634,40
Tiempo total de ejecución: 911.0 ms
Tiempo promedio por generación: 0,91 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11797.0
Mejor fitness en iteración 2: 6482.0
Mejor fitness en iteración 3: 6381.0
Mejor fitness en iteración 4: 6222.0
Mejor fitness en iteración 5: 6174.0
Mejor fitness en iteración 6: 6132.0
Mejor fitness en iteración 7: 6132.0
Mejor fitness en iteración 8: 6065.0
Mejor fitness en iteración 9: 6061.0
Mejor fitness en iteración 10: 6047.0
Mejor fitness en iteración 11: 6030.0
Mejor fitness en iteración 12: 6025.0
Mejor fitness en iteración 13: 5988.0
Mejor fitness en iteración 14: 5976.0
Mejor fitness en iteración 15: 5966.0
Mejor fitness en iteración 16: 5966.0
Mejor fitness en iteración 17: 5950.0
Mejor fitness en iteración 18: 5950.0
Mejor fitness en iteración 19: 5938.0
Mejor fitness en iteración 20: 5938.0
Mejor fitness en iteración 21: 5934.0
Mejor fitness en iteración 22: 5920.0
Mejor fitness en iteración 23: 5902.0
Mejor fitness en iteración 24: 5874.0
Mejor fitness en iteración 25: 5854.0
Mejor fitness en iteración 26: 5854.0
Mejor fitness en iteración 27: 5854.0
Mejor fitness en iteración 28: 5852.0
Mejor fitness en iteración 29: 5840.0
Mejor fitness en iteración 30: 5840.0
Mejor fitness en iteración 31: 5840.0
Mejor fitness en iteración 32: 5840.0
Mejor fitness en iteración 33: 5840.0
Mejor fitness en iteración 34: 5832.0
Mejor fitness en iteración 35: 5832.0
Mejor fitness en iteración 36: 5825.0
Mejor fitness en iteración 37: 5825.0
Mejor fitness en iteración 38: 5825.0
Mejor fitness en iteración 39: 5825.0
Mejor fitness en iteración 40: 5824.0
Mejor fitness en iteración 41: 5824.0
Mejor fitness en iteración 42: 5824.0
Mejor fitness en iteración 43: 5824.0
Mejor fitness en iteración 44: 5824.0
Mejor fitness en iteración 45: 5824.0
Mejor fitness en iteración 46: 5824.0
Mejor fitness en iteración 47: 5824.0
Mejor fitness en iteración 48: 5824.0
Mejor fitness en iteración 49: 5824.0
Mejor fitness en iteración 50: 5823.0
Mejor fitness en iteración 51: 5823.0
Mejor fitness en iteración 52: 5823.0
Mejor fitness en iteración 53: 5823.0
Mejor fitness en iteración 54: 5823.0
Mejor fitness en iteración 55: 5823.0
Mejor fitness en iteración 56: 5823.0
Mejor fitness en iteración 57: 5823.0
Mejor fitness en iteración 58: 5823.0
Mejor fitness en iteración 59: 5817.0
Mejor fitness en iteración 60: 5813.0
Mejor fitness en iteración 61: 5817.0
Mejor fitness en iteración 62: 5817.0
Mejor fitness en iteración 63: 5817.0
Mejor fitness en iteración 64: 5805.0
Mejor fitness en iteración 65: 5805.0
Mejor fitness en iteración 66: 5805.0
Mejor fitness en iteración 67: 5805.0
Mejor fitness en iteración 68: 5805.0
Mejor fitness en iteración 69: 5805.0
Mejor fitness en iteración 70: 5805.0
Mejor fitness en iteración 71: 5805.0
Mejor fitness en iteración 72: 5805.0
Mejor fitness en iteración 73: 5803.0
Mejor fitness en iteración 74: 5803.0
Mejor fitness en iteración 75: 5795.0
Mejor fitness en iteración 76: 5795.0
Mejor fitness en iteración 77: 5793.0
Mejor fitness en iteración 78: 5793.0
Mejor fitness en iteración 79: 5793.0
Mejor fitness en iteración 80: 5793.0
Mejor fitness en iteración 81: 5793.0
Mejor fitness en iteración 82: 5792.0
Mejor fitness en iteración 83: 5780.0
Mejor fitness en iteración 84: 5780.0
Mejor fitness en iteración 85: 5780.0
Mejor fitness en iteración 86: 5780.0
Mejor fitness en iteración 87: 5780.0
Mejor fitness en iteración 88: 5780.0
Mejor fitness en iteración 89: 5780.0
Mejor fitness en iteración 90: 5780.0
Mejor fitness en iteración 91: 5780.0
Mejor fitness en iteración 92: 5780.0
Mejor fitness en iteración 93: 5780.0
Mejor fitness en iteración 94: 5780.0
Mejor fitness en iteración 95: 5780.0
Mejor fitness en iteración 96: 5780.0
Mejor fitness en iteración 97: 5780.0
Mejor fitness en iteración 98: 5780.0
Mejor fitness en iteración 99: 5780.0
Mejor fitness en iteración 100: 5780.0
Mejor fitness en iteración 101: 5780.0
Mejor fitness en iteración 102: 5780.0
Mejor fitness en iteración 103: 5780.0
Mejor fitness en iteración 104: 5780.0
Mejor fitness en iteración 105: 5780.0
Mejor fitness en iteración 106: 5780.0
Mejor fitness en iteración 107: 5780.0
Mejor fitness en iteración 108: 5780.0
Mejor fitness en iteración 109: 5780.0
Mejor fitness en iteración 110: 5780.0
Mejor fitness en iteración 111: 5780.0
Mejor fitness en iteración 112: 5754.0
Mejor fitness en iteración 113: 5754.0
