Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5625.0
Costo promedio (Población): 5625,00
Tiempo total de ejecución: 842.0 ms
Tiempo promedio por generación: 0,84 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11813.0
Mejor fitness en iteración 2: 11797.0
Mejor fitness en iteración 3: 11715.0
Mejor fitness en iteración 4: 11561.0
Mejor fitness en iteración 5: 11561.0
Mejor fitness en iteración 6: 11473.0
Mejor fitness en iteración 7: 11472.0
Mejor fitness en iteración 8: 6142.0
Mejor fitness en iteración 9: 6142.0
Mejor fitness en iteración 10: 6081.0
Mejor fitness en iteración 11: 6081.0
Mejor fitness en iteración 12: 6072.0
Mejor fitness en iteración 13: 6029.0
Mejor fitness en iteración 14: 6011.0
Mejor fitness en iteración 15: 6004.0
Mejor fitness en iteración 16: 5984.0
Mejor fitness en iteración 17: 5984.0
Mejor fitness en iteración 18: 5976.0
Mejor fitness en iteración 19: 5976.0
Mejor fitness en iteración 20: 5956.0
Mejor fitness en iteración 21: 5956.0
Mejor fitness en iteración 22: 5950.0
Mejor fitness en iteración 23: 5923.0
Mejor fitness en iteración 24: 5923.0
Mejor fitness en iteración 25: 5917.0
Mejor fitness en iteración 26: 5917.0
Mejor fitness en iteración 27: 5915.0
Mejor fitness en iteración 28: 5915.0
Mejor fitness en iteración 29: 5909.0
Mejor fitness en iteración 30: 5909.0
Mejor fitness en iteración 31: 5909.0
Mejor fitness en iteración 32: 5887.0
Mejor fitness en iteración 33: 5887.0
Mejor fitness en iteración 34: 5887.0
Mejor fitness en iteración 35: 5887.0
Mejor fitness en iteración 36: 5887.0
Mejor fitness en iteración 37: 5887.0
Mejor fitness en iteración 38: 5887.0
Mejor fitness en iteración 39: 5877.0
Mejor fitness en iteración 40: 5877.0
Mejor fitness en iteración 41: 5862.0
Mejor fitness en iteración 42: 5862.0
Mejor fitness en iteración 43: 5850.0
Mejor fitness en iteración 44: 5850.0
Mejor fitness en iteración 45: 5850.0
Mejor fitness en iteración 46: 5838.0
Mejor fitness en iteración 47: 5836.0
Mejor fitness en iteración 48: 5814.0
Mejor fitness en iteración 49: 5814.0
Mejor fitness en iteración 50: 5814.0
Mejor fitness en iteración 51: 5814.0
Mejor fitness en iteración 52: 5814.0
Mejor fitness en iteración 53: 5814.0
Mejor fitness en iteración 54: 5814.0
Mejor fitness en iteración 55: 5814.0
Mejor fitness en iteración 56: 5814.0
Mejor fitness en iteración 57: 5800.0
Mejor fitness en iteración 58: 5800.0
Mejor fitness en iteración 59: 5798.0
Mejor fitness en iteración 60: 5792.0
Mejor fitness en iteración 61: 5792.0
Mejor fitness en iteración 62: 5792.0
Mejor fitness en iteración 63: 5790.0
Mejor fitness en iteración 64: 5790.0
Mejor fitness en iteración 65: 5790.0
Mejor fitness en iteración 66: 5790.0
Mejor fitness en iteración 67: 5790.0
Mejor fitness en iteración 68: 5790.0
Mejor fitness en iteración 69: 5790.0
Mejor fitness en iteración 70: 5790.0
Mejor fitness en iteración 71: 5788.0
Mejor fitness en iteración 72: 5751.0
Mejor fitness en iteración 73: 5742.0
Mejor fitness en iteración 74: 5742.0
Mejor fitness en iteración 75: 5742.0
Mejor fitness en iteración 76: 5741.0
Mejor fitness en iteración 77: 5741.0
Mejor fitness en iteración 78: 5741.0
Mejor fitness en iteración 79: 5741.0
Mejor fitness en iteración 80: 5741.0
Mejor fitness en iteración 81: 5731.0
Mejor fitness en iteración 82: 5731.0
Mejor fitness en iteración 83: 5731.0
Mejor fitness en iteración 84: 5731.0
Mejor fitness en iteración 85: 5731.0
Mejor fitness en iteración 86: 5729.0
Mejor fitness en iteración 87: 5729.0
Mejor fitness en iteración 88: 5729.0
Mejor fitness en iteración 89: 5729.0
Mejor fitness en iteración 90: 5729.0
Mejor fitness en iteración 91: 5729.0
Mejor fitness en iteración 92: 5729.0
Mejor fitness en iteración 93: 5729.0
Mejor fitness en iteración 94: 5729.0
Mejor fitness en iteración 95: 5727.0
Mejor fitness en iteración 96: 5727.0
Mejor fitness en iteración 97: 5727.0
Mejor fitness en iteración 98: 5727.0
Mejor fitness en iteración 99: 5727.0
Mejor fitness en iteración 100: 5727.0
Mejor fitness en iteración 101: 5727.0
Mejor fitness en iteración 102: 5727.0
Mejor fitness en iteración 103: 5727.0
Mejor fitness en iteración 104: 5727.0
Mejor fitness en iteración 105: 5725.0
Mejor fitness en iteración 106: 5725.0
Mejor fitness en iteración 107: 5725.0
Mejor fitness en iteración 108: 5725.0
Mejor fitness en iteración 109: 5725.0
Mejor fitness en iteración 110: 5725.0
Mejor fitness en iteración 111: 5725.0
