Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.2
Selector de sobrevivientes: Steady State con reemplazo de 100
Fitness mejor solución:    5628.0
Costo promedio (Población): 5628,00
Tiempo total de ejecución: 1341.0 ms
Tiempo promedio por generación: 1,34 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 12161.0 Diferencia: -10611.0
Mejor fitness en iteración 2: 11882.0 Diferencia: -10597.0
Mejor fitness en iteración 3: 11610.0 Diferencia: -5713.0
Mejor fitness en iteración 4: 6500.0 Diferencia: -10596.0
Mejor fitness en iteración 5: 6500.0 Diferencia: -5540.0
Mejor fitness en iteración 6: 6243.0 Diferencia: -5579.0
Mejor fitness en iteración 7: 6214.0 Diferencia: -5507.0
Mejor fitness en iteración 8: 6214.0 Diferencia: -322.0
Mejor fitness en iteración 9: 6117.0 Diferencia: -330.0
Mejor fitness en iteración 10: 6117.0 Diferencia: -286.0
Mejor fitness en iteración 11: 6117.0 Diferencia: -224.0
Mejor fitness en iteración 12: 6056.0 Diferencia: -235.0
Mejor fitness en iteración 13: 6055.0 Diferencia: -223.0
Mejor fitness en iteración 14: 6037.0 Diferencia: -227.0
Mejor fitness en iteración 15: 5923.0 Diferencia: -281.0
Mejor fitness en iteración 16: 5923.0 Diferencia: -264.0
Mejor fitness en iteración 17: 5923.0 Diferencia: -223.0
Mejor fitness en iteración 18: 5923.0 Diferencia: -202.0
Mejor fitness en iteración 19: 5891.0 Diferencia: -214.0
Mejor fitness en iteración 20: 5891.0 Diferencia: -153.0
Mejor fitness en iteración 21: 5830.0 Diferencia: -149.0
Mejor fitness en iteración 22: 5853.0 Diferencia: -70.0
Mejor fitness en iteración 23: 5853.0 Diferencia: -126.0
Mejor fitness en iteración 24: 5851.0 Diferencia: -113.0
Mejor fitness en iteración 25: 5851.0 Diferencia: -77.0
Mejor fitness en iteración 26: 5830.0 Diferencia: -114.0
Mejor fitness en iteración 27: 5830.0 Diferencia: -120.0
Mejor fitness en iteración 28: 5812.0 Diferencia: -114.0
Mejor fitness en iteración 29: 5812.0 Diferencia: -88.0
Mejor fitness en iteración 30: 5794.0 Diferencia: -80.0
