Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.15
Selector de sobrevivientes: Por Torneo con tamaño de torneo: 3 individuos
Fitness mejor solución:    5644.0
Costo promedio (Población): 5646,16
Tiempo total de ejecución: 857.0 ms
Tiempo promedio por generación: 0,86 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 12103.0 Diferencia: -16056.0
Mejor fitness en iteración 2: 12280.0 Diferencia: -10525.0
Mejor fitness en iteración 3: 11802.0 Diferencia: -5553.0
Mejor fitness en iteración 4: 6907.0 Diferencia: -5491.0
Mejor fitness en iteración 5: 6572.0 Diferencia: -5786.0
Mejor fitness en iteración 6: 6530.0 Diferencia: -5450.0
Mejor fitness en iteración 7: 6504.0 Diferencia: -406.0
Mejor fitness en iteración 8: 6455.0 Diferencia: -304.0
Mejor fitness en iteración 9: 6339.0 Diferencia: -250.0
Mejor fitness en iteración 10: 6415.0 Diferencia: -166.0
Mejor fitness en iteración 11: 6308.0 Diferencia: -283.0
Mejor fitness en iteración 12: 6236.0 Diferencia: -253.0
Mejor fitness en iteración 13: 6236.0 Diferencia: -198.0
Mejor fitness en iteración 14: 6182.0 Diferencia: -204.0
Mejor fitness en iteración 15: 6120.0 Diferencia: -209.0
Mejor fitness en iteración 16: 6120.0 Diferencia: -172.0
Mejor fitness en iteración 17: 6120.0 Diferencia: -184.0
Mejor fitness en iteración 18: 6120.0 Diferencia: -146.0
Mejor fitness en iteración 19: 6054.0 Diferencia: -224.0
Mejor fitness en iteración 20: 6054.0 Diferencia: -190.0
Mejor fitness en iteración 21: 6048.0 Diferencia: -110.0
Mejor fitness en iteración 22: 6048.0 Diferencia: -154.0
Mejor fitness en iteración 23: 6031.0 Diferencia: -102.0
Mejor fitness en iteración 24: 6026.0 Diferencia: -118.0
Mejor fitness en iteración 25: 6026.0 Diferencia: -36.0
Mejor fitness en iteración 26: 6017.0 Diferencia: -43.0
Mejor fitness en iteración 27: 6018.0 Diferencia: -31.0
Mejor fitness en iteración 28: 5990.0 Diferencia: -53.0
Mejor fitness en iteración 29: 5988.0 Diferencia: -50.0
Mejor fitness en iteración 30: 5972.0 Diferencia: -56.0
Mejor fitness en iteración 31: 5968.0 Diferencia: -49.0
Mejor fitness en iteración 32: 5947.0 Diferencia: -83.0
Mejor fitness en iteración 33: 5937.0 Diferencia: -98.0
Mejor fitness en iteración 34: 5937.0 Diferencia: -47.0
Mejor fitness en iteración 35: 5933.0 Diferencia: -227.0
Mejor fitness en iteración 36: 5933.0 Diferencia: -192.0
Mejor fitness en iteración 37: 5933.0 Diferencia: -46.0
Mejor fitness en iteración 38: 5929.0 Diferencia: -16.0
Mejor fitness en iteración 39: 5921.0 Diferencia: -28.0
Mejor fitness en iteración 40: 5919.0 Diferencia: -29.0
Mejor fitness en iteración 41: 5909.0 Diferencia: -30.0
Mejor fitness en iteración 42: 5909.0 Diferencia: -30.0
Mejor fitness en iteración 43: 5909.0 Diferencia: -30.0
Mejor fitness en iteración 44: 5899.0 Diferencia: -32.0
Mejor fitness en iteración 45: 5887.0 Diferencia: -34.0
Mejor fitness en iteración 46: 5887.0 Diferencia: -22.0
Mejor fitness en iteración 47: 5887.0 Diferencia: -22.0
Mejor fitness en iteración 48: 5871.0 Diferencia: -28.0
Mejor fitness en iteración 49: 5887.0 Diferencia: -6.0
Mejor fitness en iteración 50: 5887.0 Diferencia: -12.0
Mejor fitness en iteración 51: 5887.0 Diferencia: -12.0
Mejor fitness en iteración 52: 5879.0 Diferencia: -38.0
Mejor fitness en iteración 53: 5849.0 Diferencia: -38.0
Mejor fitness en iteración 54: 5849.0 Diferencia: -38.0
Mejor fitness en iteración 55: 5849.0 Diferencia: -38.0
Mejor fitness en iteración 56: 5849.0 Diferencia: -50.0
Mejor fitness en iteración 57: 5849.0 Diferencia: -38.0
Mejor fitness en iteración 58: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 59: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 60: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 61: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 62: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 63: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 64: 5849.0 Diferencia: -12.0
Mejor fitness en iteración 65: 5847.0 Diferencia: -14.0
Mejor fitness en iteración 66: 5847.0 Diferencia: -14.0
Mejor fitness en iteración 67: 5847.0 Diferencia: -14.0
Mejor fitness en iteración 68: 5847.0 Diferencia: -14.0
Mejor fitness en iteración 69: 5847.0 Diferencia: -8.0
Mejor fitness en iteración 70: 5847.0 Diferencia: -2.0
Mejor fitness en iteración 71: 5847.0 Diferencia: 0.0
Mejor fitness en iteración 72: 5847.0 Diferencia: 0.0
Mejor fitness en iteración 73: 5847.0 Diferencia: 0.0
Mejor fitness en iteración 74: 5847.0 Diferencia: 0.0
Mejor fitness en iteración 75: 5843.0 Diferencia: -4.0
Mejor fitness en iteración 76: 5835.0 Diferencia: -12.0
Mejor fitness en iteración 77: 5837.0 Diferencia: -10.0
Mejor fitness en iteración 78: 5837.0 Diferencia: -10.0
Mejor fitness en iteración 79: 5837.0 Diferencia: -22.0
Mejor fitness en iteración 80: 5837.0 Diferencia: -10.0
Mejor fitness en iteración 81: 5837.0 Diferencia: -10.0
Mejor fitness en iteración 82: 5837.0 Diferencia: -6.0
Mejor fitness en iteración 83: 5835.0 Diferencia: -8.0
Mejor fitness en iteración 84: 5829.0 Diferencia: -14.0
Mejor fitness en iteración 85: 5829.0 Diferencia: -14.0
Mejor fitness en iteración 86: 5829.0 Diferencia: -14.0
Mejor fitness en iteración 87: 5829.0 Diferencia: -6.0
