Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.14
Selector de sobrevivientes: Por Torneo con tamaño de torneo: 2 individuos
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 589.0 ms
Tiempo promedio por generación: 0,59 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17345.0 Diferencia: -5659.0
Mejor fitness en iteración 2: 12084.0 Diferencia: -10806.0
Mejor fitness en iteración 3: 11888.0 Diferencia: -5573.0
Mejor fitness en iteración 4: 11822.0 Diferencia: -5278.0
Mejor fitness en iteración 5: 11800.0 Diferencia: -166.0
Mejor fitness en iteración 6: 11741.0 Diferencia: -189.0
Mejor fitness en iteración 7: 11673.0 Diferencia: -158.0
Mejor fitness en iteración 8: 11658.0 Diferencia: -5454.0
Mejor fitness en iteración 9: 11658.0 Diferencia: -184.0
Mejor fitness en iteración 10: 11638.0 Diferencia: -152.0
Mejor fitness en iteración 11: 11593.0 Diferencia: -65.0
Mejor fitness en iteración 12: 11537.0 Diferencia: -238.0
Mejor fitness en iteración 13: 11509.0 Diferencia: -218.0
Mejor fitness en iteración 14: 11478.0 Diferencia: -145.0
Mejor fitness en iteración 15: 11406.0 Diferencia: -103.0
Mejor fitness en iteración 16: 11406.0 Diferencia: -145.0
Mejor fitness en iteración 17: 11400.0 Diferencia: -91.0
Mejor fitness en iteración 18: 11352.0 Diferencia: -54.0
Mejor fitness en iteración 19: 11352.0 Diferencia: -54.0
Mejor fitness en iteración 20: 11338.0 Diferencia: -14.0
Mejor fitness en iteración 21: 11330.0 Diferencia: -212.0
Mejor fitness en iteración 22: 11330.0 Diferencia: -82.0
Mejor fitness en iteración 23: 11322.0 Diferencia: -10.0
Mejor fitness en iteración 24: 11285.0 Diferencia: -143.0
Mejor fitness en iteración 25: 11278.0 Diferencia: -60.0
Mejor fitness en iteración 26: 11278.0 Diferencia: -28.0
Mejor fitness en iteración 27: 11278.0 Diferencia: -14.0
Mejor fitness en iteración 28: 11278.0 Diferencia: 0.0
Mejor fitness en iteración 29: 11278.0 Diferencia: 0.0
Mejor fitness en iteración 30: 11278.0 Diferencia: 0.0
Mejor fitness en iteración 31: 11278.0 Diferencia: 0.0
Mejor fitness en iteración 32: 11278.0 Diferencia: 0.0
