Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.3
Selector de sobrevivientes: Por Torneo con tamaño de torneo: 4 individuos
Fitness mejor solución:    5636.0
Costo promedio (Población): 5636,00
Tiempo total de ejecución: 1116.0 ms
Tiempo promedio por generación: 1,12 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17197.0 Diferencia: -10773.0
Mejor fitness en iteración 2: 16956.0 Diferencia: -5732.0
Mejor fitness en iteración 3: 11889.0 Diferencia: -10624.0
Mejor fitness en iteración 4: 11712.0 Diferencia: -5556.0
Mejor fitness en iteración 5: 11714.0 Diferencia: -5320.0
Mejor fitness en iteración 6: 11611.0 Diferencia: -389.0
Mejor fitness en iteración 7: 6513.0 Diferencia: -5354.0
Mejor fitness en iteración 8: 6305.0 Diferencia: -5498.0
Mejor fitness en iteración 9: 6273.0 Diferencia: -5365.0
Mejor fitness en iteración 10: 6273.0 Diferencia: -5338.0
Mejor fitness en iteración 11: 6230.0 Diferencia: -265.0
Mejor fitness en iteración 12: 6247.0 Diferencia: -184.0
Mejor fitness en iteración 13: 6176.0 Diferencia: -207.0
Mejor fitness en iteración 14: 6176.0 Diferencia: -164.0
Mejor fitness en iteración 15: 6164.0 Diferencia: -174.0
Mejor fitness en iteración 16: 6045.0 Diferencia: -217.0
Mejor fitness en iteración 17: 6064.0 Diferencia: -204.0
Mejor fitness en iteración 18: 6036.0 Diferencia: -179.0
Mejor fitness en iteración 19: 6014.0 Diferencia: -181.0
Mejor fitness en iteración 20: 6025.0 Diferencia: -117.0
Mejor fitness en iteración 21: 5948.0 Diferencia: -135.0
Mejor fitness en iteración 22: 5948.0 Diferencia: -128.0
Mejor fitness en iteración 23: 5931.0 Diferencia: -94.0
Mejor fitness en iteración 24: 5948.0 Diferencia: -67.0
Mejor fitness en iteración 25: 5907.0 Diferencia: -78.0
Mejor fitness en iteración 26: 5907.0 Diferencia: -41.0
Mejor fitness en iteración 27: 5895.0 Diferencia: -53.0
Mejor fitness en iteración 28: 5880.0 Diferencia: -64.0
Mejor fitness en iteración 29: 5839.0 Diferencia: -92.0
Mejor fitness en iteración 30: 5839.0 Diferencia: -68.0
Mejor fitness en iteración 31: 5838.0 Diferencia: -63.0
Mejor fitness en iteración 32: 5839.0 Diferencia: -42.0
Mejor fitness en iteración 33: 5831.0 Diferencia: -44.0
Mejor fitness en iteración 34: 5822.0 Diferencia: -200.0
Mejor fitness en iteración 35: 5799.0 Diferencia: -68.0
Mejor fitness en iteración 36: 5783.0 Diferencia: -64.0
Mejor fitness en iteración 37: 5783.0 Diferencia: -56.0
Mejor fitness en iteración 38: 5799.0 Diferencia: -50.0
Mejor fitness en iteración 39: 5780.0 Diferencia: -81.0
Mejor fitness en iteración 40: 5780.0 Diferencia: -29.0
Mejor fitness en iteración 41: 5781.0 Diferencia: -28.0
Mejor fitness en iteración 42: 5778.0 Diferencia: -23.0
Mejor fitness en iteración 43: 5778.0 Diferencia: -21.0
Mejor fitness en iteración 44: 5744.0 Diferencia: -104.0
Mejor fitness en iteración 45: 5744.0 Diferencia: -52.0
Mejor fitness en iteración 46: 5744.0 Diferencia: -47.0
Mejor fitness en iteración 47: 5744.0 Diferencia: -36.0
Mejor fitness en iteración 48: 5743.0 Diferencia: -1.0
Mejor fitness en iteración 49: 5743.0 Diferencia: -1.0
Mejor fitness en iteración 50: 5743.0 Diferencia: -1.0
Mejor fitness en iteración 51: 5734.0 Diferencia: -10.0
Mejor fitness en iteración 52: 5734.0 Diferencia: -10.0
Mejor fitness en iteración 53: 5734.0 Diferencia: -10.0
Mejor fitness en iteración 54: 5731.0 Diferencia: -13.0
Mejor fitness en iteración 55: 5731.0 Diferencia: -28.0
