Problema: p43.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.2
Selector de sobrevivientes: Steady State con reemplazo de 10
Fitness mejor solución:    5633.0
Costo promedio (Población): 5634,84
Tiempo total de ejecución: 18265.0 ms
Tiempo promedio por generación: 0,61 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17302.0 Diferencia: -10693.0
Mejor fitness en iteración 2: 12325.0 Diferencia: -10478.0
Mejor fitness en iteración 3: 11840.0 Diferencia: -10528.0
Mejor fitness en iteración 4: 11770.0 Diferencia: -5520.0
Mejor fitness en iteración 5: 11744.0 Diferencia: -581.0
Mejor fitness en iteración 6: 6361.0 Diferencia: -5530.0
Mejor fitness en iteración 7: 6276.0 Diferencia: -5551.0
Mejor fitness en iteración 8: 6276.0 Diferencia: -5468.0
Mejor fitness en iteración 9: 6157.0 Diferencia: -5415.0
Mejor fitness en iteración 10: 6157.0 Diferencia: -458.0
Mejor fitness en iteración 11: 6059.0 Diferencia: -217.0
Mejor fitness en iteración 12: 6059.0 Diferencia: -123.0
Mejor fitness en iteración 13: 6055.0 Diferencia: -102.0
Mejor fitness en iteración 14: 6004.0 Diferencia: -124.0
Mejor fitness en iteración 15: 5981.0 Diferencia: -109.0
Mejor fitness en iteración 16: 6012.0 Diferencia: -47.0
Mejor fitness en iteración 17: 5988.0 Diferencia: -65.0
Mejor fitness en iteración 18: 5982.0 Diferencia: -46.0
Mejor fitness en iteración 19: 5981.0 Diferencia: -37.0
Mejor fitness en iteración 20: 5957.0 Diferencia: -43.0
Mejor fitness en iteración 21: 5957.0 Diferencia: -40.0
Mejor fitness en iteración 22: 5911.0 Diferencia: -66.0
Mejor fitness en iteración 23: 5911.0 Diferencia: -55.0
Mejor fitness en iteración 24: 5883.0 Diferencia: -65.0
Mejor fitness en iteración 25: 5883.0 Diferencia: -40.0
Mejor fitness en iteración 26: 5840.0 Diferencia: -79.0
Mejor fitness en iteración 27: 5840.0 Diferencia: -70.0
Mejor fitness en iteración 28: 5840.0 Diferencia: -49.0
Mejor fitness en iteración 29: 5840.0 Diferencia: -37.0
Mejor fitness en iteración 30: 5834.0 Diferencia: -18.0
Mejor fitness en iteración 31: 5826.0 Diferencia: -24.0
Mejor fitness en iteración 32: 5824.0 Diferencia: -18.0
Mejor fitness en iteración 33: 5824.0 Diferencia: -18.0
Mejor fitness en iteración 34: 5822.0 Diferencia: -16.0
Mejor fitness en iteración 35: 5805.0 Diferencia: -35.0
Mejor fitness en iteración 36: 5820.0 Diferencia: -12.0
Mejor fitness en iteración 37: 5820.0 Diferencia: -14.0
Mejor fitness en iteración 38: 5820.0 Diferencia: -12.0
Mejor fitness en iteración 39: 5820.0 Diferencia: -12.0
Mejor fitness en iteración 40: 5814.0 Diferencia: -18.0
Mejor fitness en iteración 41: 5814.0 Diferencia: -18.0
Mejor fitness en iteración 42: 5814.0 Diferencia: -12.0
Mejor fitness en iteración 43: 5814.0 Diferencia: -16.0
Mejor fitness en iteración 44: 5814.0 Diferencia: -12.0
Mejor fitness en iteración 45: 5814.0 Diferencia: -12.0
Mejor fitness en iteración 46: 5814.0 Diferencia: -12.0
Mejor fitness en iteración 47: 5810.0 Diferencia: -16.0
Mejor fitness en iteración 48: 5808.0 Diferencia: -18.0
Mejor fitness en iteración 49: 5808.0 Diferencia: -18.0
Mejor fitness en iteración 50: 5810.0 Diferencia: -16.0
Mejor fitness en iteración 51: 5810.0 Diferencia: -16.0
Mejor fitness en iteración 52: 5810.0 Diferencia: -16.0
Mejor fitness en iteración 53: 5810.0 Diferencia: -16.0
Mejor fitness en iteración 54: 5810.0 Diferencia: -12.0
Mejor fitness en iteración 55: 5810.0 Diferencia: -12.0
Mejor fitness en iteración 56: 5810.0 Diferencia: -12.0
Mejor fitness en iteración 57: 5809.0 Diferencia: -13.0
Mejor fitness en iteración 58: 5809.0 Diferencia: -13.0
Mejor fitness en iteración 59: 5809.0 Diferencia: -13.0
Mejor fitness en iteración 60: 5809.0 Diferencia: -12.0
Mejor fitness en iteración 61: 5809.0 Diferencia: -12.0
Mejor fitness en iteración 62: 5809.0 Diferencia: -12.0
Mejor fitness en iteración 63: 5807.0 Diferencia: -14.0
Mejor fitness en iteración 64: 5807.0 Diferencia: -14.0
Mejor fitness en iteración 65: 5807.0 Diferencia: -14.0
Mejor fitness en iteración 66: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 67: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 68: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 69: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 70: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 71: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 72: 5807.0 Diferencia: -12.0
Mejor fitness en iteración 73: 5806.0 Diferencia: -13.0
Mejor fitness en iteración 74: 5806.0 Diferencia: -13.0
Mejor fitness en iteración 75: 5803.0 Diferencia: -16.0
Mejor fitness en iteración 76: 5803.0 Diferencia: -16.0
Mejor fitness en iteración 77: 5802.0 Diferencia: -16.0
Mejor fitness en iteración 78: 5802.0 Diferencia: -5.0
Mejor fitness en iteración 79: 5797.0 Diferencia: -9.0
Mejor fitness en iteración 80: 5797.0 Diferencia: -6.0
Mejor fitness en iteración 81: 5796.0 Diferencia: -6.0
Mejor fitness en iteración 82: 5796.0 Diferencia: -6.0
Mejor fitness en iteración 83: 5796.0 Diferencia: -6.0
Mejor fitness en iteración 84: 5796.0 Diferencia: -6.0
Mejor fitness en iteración 85: 5796.0 Diferencia: -12.0
Mejor fitness en iteración 86: 5795.0 Diferencia: -13.0
Mejor fitness en iteración 87: 5795.0 Diferencia: -13.0
Mejor fitness en iteración 88: 5794.0 Diferencia: -14.0
Mejor fitness en iteración 89: 5794.0 Diferencia: -13.0
Mejor fitness en iteración 90: 5794.0 Diferencia: -13.0
Mejor fitness en iteración 91: 5788.0 Diferencia: -19.0
Mejor fitness en iteración 92: 5788.0 Diferencia: -19.0
Mejor fitness en iteración 93: 5788.0 Diferencia: -7.0
Mejor fitness en iteración 94: 5783.0 Diferencia: -11.0
Mejor fitness en iteración 95: 5783.0 Diferencia: -6.0
Mejor fitness en iteración 96: 5781.0 Diferencia: -8.0
Mejor fitness en iteración 97: 5781.0 Diferencia: -8.0
Mejor fitness en iteración 98: 5781.0 Diferencia: -8.0
Mejor fitness en iteración 99: 5781.0 Diferencia: -8.0
Mejor fitness en iteración 100: 5781.0 Diferencia: -8.0
Mejor fitness en iteración 101: 5781.0 Diferencia: -8.0
Mejor fitness en iteración 102: 5781.0 Diferencia: -6.0
Mejor fitness en iteración 103: 5781.0 Diferencia: -6.0
Mejor fitness en iteración 104: 5749.0 Diferencia: -38.0
Mejor fitness en iteración 105: 5749.0 Diferencia: -38.0
Mejor fitness en iteración 106: 5749.0 Diferencia: -38.0
Mejor fitness en iteración 107: 5747.0 Diferencia: -34.0
Mejor fitness en iteración 108: 5741.0 Diferencia: -14.0
Mejor fitness en iteración 109: 5741.0 Diferencia: -8.0
Mejor fitness en iteración 110: 5741.0 Diferencia: -8.0
Mejor fitness en iteración 111: 5741.0 Diferencia: -6.0
Mejor fitness en iteración 112: 5739.0 Diferencia: -8.0
Mejor fitness en iteración 113: 5739.0 Diferencia: -8.0
Mejor fitness en iteración 114: 5739.0 Diferencia: -8.0
Mejor fitness en iteración 115: 5739.0 Diferencia: -8.0
Mejor fitness en iteración 116: 5739.0 Diferencia: -8.0
Mejor fitness en iteración 117: 5739.0 Diferencia: -6.0
Mejor fitness en iteración 118: 5739.0 Diferencia: -6.0
Mejor fitness en iteración 119: 5739.0 Diferencia: -6.0
Mejor fitness en iteración 120: 5739.0 Diferencia: -6.0
Mejor fitness en iteración 121: 5739.0 Diferencia: -6.0
Mejor fitness en iteración 122: 5733.0 Diferencia: -12.0
Mejor fitness en iteración 123: 5733.0 Diferencia: -12.0
Mejor fitness en iteración 124: 5733.0 Diferencia: -12.0
Mejor fitness en iteración 125: 5729.0 Diferencia: -10.0
Mejor fitness en iteración 126: 5721.0 Diferencia: -18.0
Mejor fitness en iteración 127: 5709.0 Diferencia: -30.0
Mejor fitness en iteración 128: 5709.0 Diferencia: -26.0
Mejor fitness en iteración 129: 5709.0 Diferencia: -24.0
Mejor fitness en iteración 130: 5709.0 Diferencia: -12.0
Mejor fitness en iteración 131: 5709.0 Diferencia: -6.0
Mejor fitness en iteración 132: 5709.0 Diferencia: -6.0
Mejor fitness en iteración 133: 5709.0 Diferencia: -6.0
Mejor fitness en iteración 134: 5707.0 Diferencia: -8.0
Mejor fitness en iteración 135: 5707.0 Diferencia: -8.0
Mejor fitness en iteración 136: 5695.0 Diferencia: -20.0
Mejor fitness en iteración 137: 5695.0 Diferencia: -14.0
Mejor fitness en iteración 138: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 139: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 140: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 141: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 142: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 143: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 144: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 145: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 146: 5695.0 Diferencia: -12.0
Mejor fitness en iteración 147: 5679.0 Diferencia: -28.0
Mejor fitness en iteración 148: 5679.0 Diferencia: -28.0
Mejor fitness en iteración 149: 5667.0 Diferencia: -28.0
Mejor fitness en iteración 150: 5667.0 Diferencia: -28.0
Mejor fitness en iteración 151: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 152: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 153: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 154: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 155: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 156: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 157: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 158: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 159: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 160: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 161: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 162: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 163: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 164: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 165: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 166: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 167: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 168: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 169: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 170: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 171: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 172: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 173: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 174: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 175: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 176: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 177: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 178: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 179: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 180: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 181: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 182: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 183: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 184: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 185: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 186: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 187: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 188: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 189: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 190: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 191: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 192: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 193: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 194: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 195: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 196: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 197: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 198: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 199: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 200: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 201: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 202: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 203: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 204: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 205: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 206: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 207: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 208: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 209: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 210: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 211: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 212: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 213: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 214: 5667.0 Diferencia: -12.0
Mejor fitness en iteración 215: 5665.0 Diferencia: -14.0
Mejor fitness en iteración 216: 5665.0 Diferencia: -14.0
Mejor fitness en iteración 217: 5665.0 Diferencia: -8.0
Mejor fitness en iteración 218: 5665.0 Diferencia: -14.0
Mejor fitness en iteración 219: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 220: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 221: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 222: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 223: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 224: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 225: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 226: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 227: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 228: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 229: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 230: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 231: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 232: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 233: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 234: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 235: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 236: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 237: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 238: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 239: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 240: 5665.0 Diferencia: -12.0
Mejor fitness en iteración 241: 5665.0 Diferencia: -12.0
