Problema: br17.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 40
Cantidad de iteraciones: 1000

Mejor solución:
  Fitness:    39.0
Camino: 8 - -16 -4 -3 -6 -14 -5 -15 -11 -0 -13 -2 -9 -1 -12 -10 -7

Costo promedio (Población): 39,00
Tiempo total de ejecución: 233.0 ms
Tiempo promedio por generación: 0,23 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 113.0 Diferencia: -123.0
Mejor fitness en iteración 2: 87.0 Diferencia: -105.0
Mejor fitness en iteración 3: 87.0 Diferencia: -79.0
Mejor fitness en iteración 4: 76.0 Diferencia: -69.0
Mejor fitness en iteración 5: 71.0 Diferencia: -23.0
Mejor fitness en iteración 6: 69.0 Diferencia: -54.0
Mejor fitness en iteración 7: 60.0 Diferencia: -35.0
Mejor fitness en iteración 8: 60.0 Diferencia: -27.0
Mejor fitness en iteración 9: 50.0 Diferencia: -27.0
Mejor fitness en iteración 10: 50.0 Diferencia: -14.0
Mejor fitness en iteración 11: 50.0 Diferencia: -21.0
Mejor fitness en iteración 12: 50.0 Diferencia: -5.0
Mejor fitness en iteración 13: 50.0 Diferencia: 0.0
Mejor fitness en iteración 14: 50.0 Diferencia: 0.0
Mejor fitness en iteración 15: 50.0 Diferencia: 0.0
Mejor fitness en iteración 16: 50.0 Diferencia: 0.0
Mejor fitness en iteración 17: 50.0 Diferencia: 0.0
Mejor fitness en iteración 18: 50.0 Diferencia: 0.0
Mejor fitness en iteración 19: 50.0 Diferencia: 0.0
Mejor fitness en iteración 20: 50.0 Diferencia: 0.0
Mejor fitness en iteración 21: 45.0 Diferencia: -5.0
Mejor fitness en iteración 22: 45.0 Diferencia: -5.0
Mejor fitness en iteración 23: 45.0 Diferencia: -5.0
Mejor fitness en iteración 24: 45.0 Diferencia: 0.0
Mejor fitness en iteración 25: 45.0 Diferencia: 0.0
Mejor fitness en iteración 26: 45.0 Diferencia: 0.0
Mejor fitness en iteración 27: 45.0 Diferencia: 0.0
Mejor fitness en iteración 28: 45.0 Diferencia: 0.0
Mejor fitness en iteración 29: 45.0 Diferencia: 0.0
Mejor fitness en iteración 30: 45.0 Diferencia: 0.0
Mejor fitness en iteración 31: 45.0 Diferencia: 0.0
Mejor fitness en iteración 32: 45.0 Diferencia: 0.0
Mejor fitness en iteración 33: 45.0 Diferencia: -10.0
Mejor fitness en iteración 34: 40.0 Diferencia: -21.0
Mejor fitness en iteración 35: 40.0 Diferencia: -7.0
Mejor fitness en iteración 36: 40.0 Diferencia: -10.0
Mejor fitness en iteración 37: 40.0 Diferencia: 0.0
Mejor fitness en iteración 38: 40.0 Diferencia: 0.0
Mejor fitness en iteración 39: 40.0 Diferencia: -12.0
Mejor fitness en iteración 40: 40.0 Diferencia: 0.0
Mejor fitness en iteración 41: 40.0 Diferencia: 0.0
Mejor fitness en iteración 42: 40.0 Diferencia: 0.0
Mejor fitness en iteración 43: 40.0 Diferencia: 0.0
Mejor fitness en iteración 44: 40.0 Diferencia: 0.0
Mejor fitness en iteración 45: 40.0 Diferencia: 0.0
Mejor fitness en iteración 46: 40.0 Diferencia: 0.0
Mejor fitness en iteración 47: 40.0 Diferencia: 0.0
Mejor fitness en iteración 48: 40.0 Diferencia: 0.0
Mejor fitness en iteración 49: 40.0 Diferencia: 0.0
Mejor fitness en iteración 50: 40.0 Diferencia: 0.0
Mejor fitness en iteración 51: 40.0 Diferencia: 0.0
Mejor fitness en iteración 52: 40.0 Diferencia: 0.0
Mejor fitness en iteración 53: 40.0 Diferencia: 0.0
Mejor fitness en iteración 54: 40.0 Diferencia: 0.0
Mejor fitness en iteración 55: 40.0 Diferencia: 0.0
Mejor fitness en iteración 56: 40.0 Diferencia: 0.0
Mejor fitness en iteración 57: 40.0 Diferencia: 0.0
Mejor fitness en iteración 58: 40.0 Diferencia: 0.0
Mejor fitness en iteración 59: 40.0 Diferencia: 0.0
Mejor fitness en iteración 60: 40.0 Diferencia: 0.0
Mejor fitness en iteración 61: 40.0 Diferencia: 0.0
Mejor fitness en iteración 62: 40.0 Diferencia: 0.0
Mejor fitness en iteración 63: 40.0 Diferencia: 0.0
Mejor fitness en iteración 64: 40.0 Diferencia: 0.0
Mejor fitness en iteración 65: 40.0 Diferencia: 0.0
Mejor fitness en iteración 66: 40.0 Diferencia: 0.0
Mejor fitness en iteración 67: 40.0 Diferencia: 0.0
Mejor fitness en iteración 68: 40.0 Diferencia: 0.0
Mejor fitness en iteración 69: 40.0 Diferencia: 0.0
Mejor fitness en iteración 70: 40.0 Diferencia: 0.0
Mejor fitness en iteración 71: 40.0 Diferencia: 0.0
Mejor fitness en iteración 72: 40.0 Diferencia: 0.0
Mejor fitness en iteración 73: 40.0 Diferencia: 0.0
Mejor fitness en iteración 74: 40.0 Diferencia: 0.0
Mejor fitness en iteración 75: 40.0 Diferencia: 0.0
Mejor fitness en iteración 76: 40.0 Diferencia: 0.0
Mejor fitness en iteración 77: 40.0 Diferencia: 0.0
Mejor fitness en iteración 78: 40.0 Diferencia: 0.0
Mejor fitness en iteración 79: 40.0 Diferencia: 0.0
Mejor fitness en iteración 80: 40.0 Diferencia: 0.0
Mejor fitness en iteración 81: 40.0 Diferencia: 0.0
Mejor fitness en iteración 82: 40.0 Diferencia: 0.0
Mejor fitness en iteración 83: 40.0 Diferencia: 0.0
Mejor fitness en iteración 84: 39.0 Diferencia: -1.0
Mejor fitness en iteración 85: 39.0 Diferencia: -3.0
Mejor fitness en iteración 86: 39.0 Diferencia: -1.0
Mejor fitness en iteración 87: 39.0 Diferencia: 0.0
Mejor fitness en iteración 88: 39.0 Diferencia: 0.0
Mejor fitness en iteración 89: 39.0 Diferencia: 0.0
Mejor fitness en iteración 90: 39.0 Diferencia: 0.0
Mejor fitness en iteración 91: 39.0 Diferencia: 0.0
Mejor fitness en iteración 92: 39.0 Diferencia: 0.0
Mejor fitness en iteración 93: 39.0 Diferencia: 0.0
Mejor fitness en iteración 94: 39.0 Diferencia: 0.0
Mejor fitness en iteración 95: 39.0 Diferencia: 0.0
Mejor fitness en iteración 96: 39.0 Diferencia: 0.0
Mejor fitness en iteración 97: 39.0 Diferencia: 0.0
Mejor fitness en iteración 98: 39.0 Diferencia: 0.0
