Problema: br17.atsp
Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.4
Selector de sobrevivientes: Reemplazo Total (Hijos por Padres)
Cantidad de iteraciones: 1000

Mejor solución:
  Fitness:    45.0
  Camino: 0 - 2 - 13 - 12 - 8 - 16 - 7 - 4 - 3 - 15 - 5 - 6 - 14 - 11 - 1 - 10 - 9

Costo promedio (Población): 86,18
Tiempo total de ejecución: 627.0 ms
Tiempo promedio por generación: 0,63 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 95.0 Diferencia: -220.0
Mejor fitness en iteración 2: 90.0 Diferencia: -219.0
Mejor fitness en iteración 3: 80.0 Diferencia: -179.0
Mejor fitness en iteración 4: 82.0 Diferencia: -222.0
Mejor fitness en iteración 5: 75.0 Diferencia: -150.0
Mejor fitness en iteración 6: 73.0 Diferencia: -211.0
Mejor fitness en iteración 7: 73.0 Diferencia: -165.0
Mejor fitness en iteración 8: 62.0 Diferencia: -136.0
Mejor fitness en iteración 9: 65.0 Diferencia: -139.0
Mejor fitness en iteración 10: 68.0 Diferencia: -152.0
Mejor fitness en iteración 11: 64.0 Diferencia: -122.0
Mejor fitness en iteración 12: 54.0 Diferencia: -170.0
Mejor fitness en iteración 13: 60.0 Diferencia: -166.0
Mejor fitness en iteración 14: 60.0 Diferencia: -155.0
Mejor fitness en iteración 15: 52.0 Diferencia: -177.0
Mejor fitness en iteración 16: 52.0 Diferencia: -163.0
Mejor fitness en iteración 17: 61.0 Diferencia: -158.0
Mejor fitness en iteración 18: 57.0 Diferencia: -196.0
Mejor fitness en iteración 19: 57.0 Diferencia: -136.0
Mejor fitness en iteración 20: 55.0 Diferencia: -104.0
Mejor fitness en iteración 21: 49.0 Diferencia: -122.0
Mejor fitness en iteración 22: 52.0 Diferencia: -120.0
Mejor fitness en iteración 23: 52.0 Diferencia: -162.0
Mejor fitness en iteración 24: 42.0 Diferencia: -108.0
Mejor fitness en iteración 25: 42.0 Diferencia: -144.0
Mejor fitness en iteración 26: 42.0 Diferencia: -151.0
Mejor fitness en iteración 27: 42.0 Diferencia: -135.0
Mejor fitness en iteración 28: 40.0 Diferencia: -134.0
Mejor fitness en iteración 29: 41.0 Diferencia: -158.0
Mejor fitness en iteración 30: 45.0 Diferencia: -155.0
Mejor fitness en iteración 31: 42.0 Diferencia: -128.0
Mejor fitness en iteración 32: 42.0 Diferencia: -100.0
Mejor fitness en iteración 33: 41.0 Diferencia: -173.0
Mejor fitness en iteración 34: 41.0 Diferencia: -128.0
Mejor fitness en iteración 35: 41.0 Diferencia: -129.0
Mejor fitness en iteración 36: 42.0 Diferencia: -217.0
Mejor fitness en iteración 37: 40.0 Diferencia: -176.0
Mejor fitness en iteración 38: 40.0 Diferencia: -220.0
Mejor fitness en iteración 39: 40.0 Diferencia: -162.0
Mejor fitness en iteración 40: 42.0 Diferencia: -149.0
Mejor fitness en iteración 41: 42.0 Diferencia: -172.0
Mejor fitness en iteración 42: 42.0 Diferencia: -136.0
Mejor fitness en iteración 43: 42.0 Diferencia: -88.0
Mejor fitness en iteración 44: 42.0 Diferencia: -107.0
Mejor fitness en iteración 45: 40.0 Diferencia: -81.0
Mejor fitness en iteración 46: 39.0 Diferencia: -100.0
Mejor fitness en iteración 47: 39.0 Diferencia: -101.0
Mejor fitness en iteración 48: 40.0 Diferencia: -117.0
Mejor fitness en iteración 49: 40.0 Diferencia: -151.0
Mejor fitness en iteración 50: 40.0 Diferencia: -96.0
Mejor fitness en iteración 51: 40.0 Diferencia: -133.0
Mejor fitness en iteración 52: 40.0 Diferencia: -112.0
Mejor fitness en iteración 53: 40.0 Diferencia: -110.0
Mejor fitness en iteración 54: 40.0 Diferencia: -128.0
Mejor fitness en iteración 55: 40.0 Diferencia: -99.0
Mejor fitness en iteración 56: 40.0 Diferencia: -118.0
Mejor fitness en iteración 57: 40.0 Diferencia: -99.0
Mejor fitness en iteración 58: 40.0 Diferencia: -142.0
Mejor fitness en iteración 59: 40.0 Diferencia: -96.0
Mejor fitness en iteración 60: 39.0 Diferencia: -100.0
Mejor fitness en iteración 61: 40.0 Diferencia: -130.0
Mejor fitness en iteración 62: 40.0 Diferencia: -132.0
Mejor fitness en iteración 63: 40.0 Diferencia: -134.0
Mejor fitness en iteración 64: 40.0 Diferencia: -139.0
Mejor fitness en iteración 65: 40.0 Diferencia: -144.0
Mejor fitness en iteración 66: 40.0 Diferencia: -99.0
Mejor fitness en iteración 67: 40.0 Diferencia: -147.0
Mejor fitness en iteración 68: 40.0 Diferencia: -159.0
Mejor fitness en iteración 69: 40.0 Diferencia: -100.0
Mejor fitness en iteración 70: 40.0 Diferencia: -147.0
Mejor fitness en iteración 71: 40.0 Diferencia: -135.0
Mejor fitness en iteración 72: 40.0 Diferencia: -117.0
Mejor fitness en iteración 73: 40.0 Diferencia: -122.0
Mejor fitness en iteración 74: 40.0 Diferencia: -114.0
Mejor fitness en iteración 75: 40.0 Diferencia: -165.0
Mejor fitness en iteración 76: 40.0 Diferencia: -109.0
Mejor fitness en iteración 77: 42.0 Diferencia: -131.0
Mejor fitness en iteración 78: 40.0 Diferencia: -151.0
Mejor fitness en iteración 79: 40.0 Diferencia: -143.0
Mejor fitness en iteración 80: 40.0 Diferencia: -120.0
Mejor fitness en iteración 81: 40.0 Diferencia: -134.0
Mejor fitness en iteración 82: 40.0 Diferencia: -103.0
Mejor fitness en iteración 83: 42.0 Diferencia: -226.0
Mejor fitness en iteración 84: 42.0 Diferencia: -103.0
Mejor fitness en iteración 85: 42.0 Diferencia: -146.0
Mejor fitness en iteración 86: 40.0 Diferencia: -146.0
Mejor fitness en iteración 87: 42.0 Diferencia: -141.0
Mejor fitness en iteración 88: 42.0 Diferencia: -107.0
Mejor fitness en iteración 89: 40.0 Diferencia: -140.0
Mejor fitness en iteración 90: 42.0 Diferencia: -111.0
Mejor fitness en iteración 91: 42.0 Diferencia: -133.0
Mejor fitness en iteración 92: 42.0 Diferencia: -128.0
Mejor fitness en iteración 93: 42.0 Diferencia: -96.0
Mejor fitness en iteración 94: 40.0 Diferencia: -147.0
Mejor fitness en iteración 95: 40.0 Diferencia: -121.0
Mejor fitness en iteración 96: 40.0 Diferencia: -121.0
Mejor fitness en iteración 97: 40.0 Diferencia: -122.0
Mejor fitness en iteración 98: 42.0 Diferencia: -117.0
Mejor fitness en iteración 99: 42.0 Diferencia: -110.0
Mejor fitness en iteración 100: 42.0 Diferencia: -128.0
Mejor fitness en iteración 101: 42.0 Diferencia: -209.0
Mejor fitness en iteración 102: 42.0 Diferencia: -182.0
Mejor fitness en iteración 103: 42.0 Diferencia: -179.0
Mejor fitness en iteración 104: 42.0 Diferencia: -130.0
Mejor fitness en iteración 105: 42.0 Diferencia: -147.0
