Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5635.0
Costo promedio (Población): 5635,00
Tiempo total de ejecución: 727.0 ms
Tiempo promedio por generación: 0,73 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17153.0
Mejor fitness en iteración 2: 17080.0
Mejor fitness en iteración 3: 16913.0
Mejor fitness en iteración 4: 16911.0
Mejor fitness en iteración 5: 11536.0
Mejor fitness en iteración 6: 11518.0
Mejor fitness en iteración 7: 11518.0
Mejor fitness en iteración 8: 11498.0
Mejor fitness en iteración 9: 11486.0
Mejor fitness en iteración 10: 11450.0
Mejor fitness en iteración 11: 11450.0
Mejor fitness en iteración 12: 11403.0
Mejor fitness en iteración 13: 11377.0
Mejor fitness en iteración 14: 11371.0
Mejor fitness en iteración 15: 11347.0
Mejor fitness en iteración 16: 11331.0
Mejor fitness en iteración 17: 11302.0
Mejor fitness en iteración 18: 11300.0
Mejor fitness en iteración 19: 11300.0
Mejor fitness en iteración 20: 11295.0
Mejor fitness en iteración 21: 11288.0
Mejor fitness en iteración 22: 11276.0
Mejor fitness en iteración 23: 5949.0
Mejor fitness en iteración 24: 5947.0
Mejor fitness en iteración 25: 5905.0
Mejor fitness en iteración 26: 5899.0
Mejor fitness en iteración 27: 5877.0
Mejor fitness en iteración 28: 5861.0
Mejor fitness en iteración 29: 5844.0
Mejor fitness en iteración 30: 5844.0
Mejor fitness en iteración 31: 5844.0
Mejor fitness en iteración 32: 5841.0
Mejor fitness en iteración 33: 5828.0
Mejor fitness en iteración 34: 5818.0
Mejor fitness en iteración 35: 5814.0
Mejor fitness en iteración 36: 5812.0
Mejor fitness en iteración 37: 5808.0
Mejor fitness en iteración 38: 5804.0
Mejor fitness en iteración 39: 5804.0
Mejor fitness en iteración 40: 5768.0
Mejor fitness en iteración 41: 5768.0
Mejor fitness en iteración 42: 5758.0
Mejor fitness en iteración 43: 5755.0
Mejor fitness en iteración 44: 5755.0
Mejor fitness en iteración 45: 5745.0
Mejor fitness en iteración 46: 5745.0
Mejor fitness en iteración 47: 5739.0
Mejor fitness en iteración 48: 5739.0
Mejor fitness en iteración 49: 5739.0
Mejor fitness en iteración 50: 5727.0
Mejor fitness en iteración 51: 5727.0
Mejor fitness en iteración 52: 5727.0
Mejor fitness en iteración 53: 5727.0
Mejor fitness en iteración 54: 5727.0
Mejor fitness en iteración 55: 5727.0
Mejor fitness en iteración 56: 5725.0
Mejor fitness en iteración 57: 5725.0
Mejor fitness en iteración 58: 5699.0
Mejor fitness en iteración 59: 5699.0
Mejor fitness en iteración 60: 5699.0
Mejor fitness en iteración 61: 5699.0
Mejor fitness en iteración 62: 5699.0
Mejor fitness en iteración 63: 5697.0
Mejor fitness en iteración 64: 5697.0
Mejor fitness en iteración 65: 5697.0
Mejor fitness en iteración 66: 5697.0
Mejor fitness en iteración 67: 5695.0
Mejor fitness en iteración 68: 5695.0
Mejor fitness en iteración 69: 5694.0
Mejor fitness en iteración 70: 5694.0
Mejor fitness en iteración 71: 5686.0
Mejor fitness en iteración 72: 5686.0
Mejor fitness en iteración 73: 5686.0
Mejor fitness en iteración 74: 5678.0
Mejor fitness en iteración 75: 5678.0
Mejor fitness en iteración 76: 5677.0
Mejor fitness en iteración 77: 5674.0
Mejor fitness en iteración 78: 5674.0
Mejor fitness en iteración 79: 5672.0
Mejor fitness en iteración 80: 5672.0
Mejor fitness en iteración 81: 5672.0
Mejor fitness en iteración 82: 5672.0
Mejor fitness en iteración 83: 5672.0
Mejor fitness en iteración 84: 5672.0
Mejor fitness en iteración 85: 5672.0
Mejor fitness en iteración 86: 5672.0
Mejor fitness en iteración 87: 5672.0
Mejor fitness en iteración 88: 5672.0
Mejor fitness en iteración 89: 5672.0
Mejor fitness en iteración 90: 5672.0
Mejor fitness en iteración 91: 5672.0
Mejor fitness en iteración 92: 5657.0
Mejor fitness en iteración 93: 5657.0
Mejor fitness en iteración 94: 5657.0
Mejor fitness en iteración 95: 5657.0
Mejor fitness en iteración 96: 5655.0
Mejor fitness en iteración 97: 5653.0
Mejor fitness en iteración 98: 5653.0
Mejor fitness en iteración 99: 5653.0
Mejor fitness en iteración 100: 5653.0
Mejor fitness en iteración 101: 5653.0
Mejor fitness en iteración 102: 5653.0
Mejor fitness en iteración 103: 5653.0
Mejor fitness en iteración 104: 5653.0
Mejor fitness en iteración 105: 5653.0
Mejor fitness en iteración 106: 5652.0
Mejor fitness en iteración 107: 5652.0
Mejor fitness en iteración 108: 5652.0
Mejor fitness en iteración 109: 5652.0
Mejor fitness en iteración 110: 5652.0
Mejor fitness en iteración 111: 5652.0
