Configuración utilizada:
Operador de selección: Por Ruleta
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por intercambio (2). Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5830.0
Costo promedio (Población): 5952,36
Tiempo total de ejecución: 885.0 ms
Tiempo promedio por generación: 0,89 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 17187.0
Mejor fitness en iteración 2: 17177.0
Mejor fitness en iteración 3: 17079.0
Mejor fitness en iteración 4: 11923.0
Mejor fitness en iteración 5: 11807.0
Mejor fitness en iteración 6: 11740.0
Mejor fitness en iteración 7: 11686.0
Mejor fitness en iteración 8: 11609.0
Mejor fitness en iteración 9: 11685.0
Mejor fitness en iteración 10: 11618.0
Mejor fitness en iteración 11: 6618.0
Mejor fitness en iteración 12: 6618.0
Mejor fitness en iteración 13: 6468.0
Mejor fitness en iteración 14: 6468.0
Mejor fitness en iteración 15: 6468.0
Mejor fitness en iteración 16: 6468.0
Mejor fitness en iteración 17: 6434.0
Mejor fitness en iteración 18: 6363.0
Mejor fitness en iteración 19: 6363.0
Mejor fitness en iteración 20: 6279.0
Mejor fitness en iteración 21: 6279.0
Mejor fitness en iteración 22: 6279.0
Mejor fitness en iteración 23: 6279.0
Mejor fitness en iteración 24: 6279.0
Mejor fitness en iteración 25: 6155.0
Mejor fitness en iteración 26: 6197.0
Mejor fitness en iteración 27: 6197.0
Mejor fitness en iteración 28: 6139.0
Mejor fitness en iteración 29: 6139.0
Mejor fitness en iteración 30: 6139.0
Mejor fitness en iteración 31: 6139.0
Mejor fitness en iteración 32: 6139.0
Mejor fitness en iteración 33: 6139.0
Mejor fitness en iteración 34: 6139.0
Mejor fitness en iteración 35: 6139.0
Mejor fitness en iteración 36: 6139.0
Mejor fitness en iteración 37: 6106.0
Mejor fitness en iteración 38: 6106.0
Mejor fitness en iteración 39: 6106.0
Mejor fitness en iteración 40: 6054.0
Mejor fitness en iteración 41: 6054.0
Mejor fitness en iteración 42: 6050.0
Mejor fitness en iteración 43: 6050.0
Mejor fitness en iteración 44: 6050.0
Mejor fitness en iteración 45: 6050.0
Mejor fitness en iteración 46: 6050.0
Mejor fitness en iteración 47: 6050.0
Mejor fitness en iteración 48: 6050.0
Mejor fitness en iteración 49: 6049.0
Mejor fitness en iteración 50: 6049.0
Mejor fitness en iteración 51: 6050.0
Mejor fitness en iteración 52: 6050.0
Mejor fitness en iteración 53: 6050.0
Mejor fitness en iteración 54: 6050.0
Mejor fitness en iteración 55: 6050.0
Mejor fitness en iteración 56: 6050.0
Mejor fitness en iteración 57: 6050.0
Mejor fitness en iteración 58: 6050.0
Mejor fitness en iteración 59: 6050.0
Mejor fitness en iteración 60: 6051.0
