Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 5 individuos
Operador de cruce: Cruce de arcos
Operador de mutación: Mutación por Inversión. Probabilidad: 0.1
Selector de sobrevivientes: Steady State con reemplazo de 25
Fitness mejor solución:    5633.0
Costo promedio (Población): 5633,00
Tiempo total de ejecución: 878.0 ms
Tiempo promedio por generación: 0,88 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 11884.0
Mejor fitness en iteración 2: 11603.0
Mejor fitness en iteración 3: 6248.0
Mejor fitness en iteración 4: 6200.0
Mejor fitness en iteración 5: 6128.0
Mejor fitness en iteración 6: 6058.0
Mejor fitness en iteración 7: 6058.0
Mejor fitness en iteración 8: 6036.0
Mejor fitness en iteración 9: 6003.0
Mejor fitness en iteración 10: 5997.0
Mejor fitness en iteración 11: 5967.0
Mejor fitness en iteración 12: 5943.0
Mejor fitness en iteración 13: 5920.0
Mejor fitness en iteración 14: 5919.0
Mejor fitness en iteración 15: 5919.0
Mejor fitness en iteración 16: 5915.0
Mejor fitness en iteración 17: 5915.0
Mejor fitness en iteración 18: 5913.0
Mejor fitness en iteración 19: 5901.0
Mejor fitness en iteración 20: 5899.0
Mejor fitness en iteración 21: 5899.0
Mejor fitness en iteración 22: 5899.0
Mejor fitness en iteración 23: 5899.0
Mejor fitness en iteración 24: 5899.0
Mejor fitness en iteración 25: 5899.0
Mejor fitness en iteración 26: 5899.0
Mejor fitness en iteración 27: 5899.0
Mejor fitness en iteración 28: 5899.0
Mejor fitness en iteración 29: 5899.0
Mejor fitness en iteración 30: 5899.0
Mejor fitness en iteración 31: 5899.0
Mejor fitness en iteración 32: 5899.0
Mejor fitness en iteración 33: 5898.0
Mejor fitness en iteración 34: 5886.0
Mejor fitness en iteración 35: 5886.0
Mejor fitness en iteración 36: 5886.0
Mejor fitness en iteración 37: 5886.0
Mejor fitness en iteración 38: 5886.0
Mejor fitness en iteración 39: 5886.0
Mejor fitness en iteración 40: 5886.0
Mejor fitness en iteración 41: 5886.0
Mejor fitness en iteración 42: 5862.0
Mejor fitness en iteración 43: 5862.0
Mejor fitness en iteración 44: 5862.0
Mejor fitness en iteración 45: 5862.0
Mejor fitness en iteración 46: 5862.0
Mejor fitness en iteración 47: 5862.0
Mejor fitness en iteración 48: 5862.0
Mejor fitness en iteración 49: 5862.0
Mejor fitness en iteración 50: 5862.0
Mejor fitness en iteración 51: 5860.0
Mejor fitness en iteración 52: 5860.0
Mejor fitness en iteración 53: 5854.0
Mejor fitness en iteración 54: 5854.0
Mejor fitness en iteración 55: 5853.0
Mejor fitness en iteración 56: 5853.0
Mejor fitness en iteración 57: 5853.0
Mejor fitness en iteración 58: 5853.0
Mejor fitness en iteración 59: 5853.0
Mejor fitness en iteración 60: 5853.0
Mejor fitness en iteración 61: 5853.0
Mejor fitness en iteración 62: 5853.0
Mejor fitness en iteración 63: 5853.0
Mejor fitness en iteración 64: 5835.0
Mejor fitness en iteración 65: 5813.0
Mejor fitness en iteración 66: 5813.0
Mejor fitness en iteración 67: 5813.0
Mejor fitness en iteración 68: 5813.0
Mejor fitness en iteración 69: 5813.0
Mejor fitness en iteración 70: 5813.0
Mejor fitness en iteración 71: 5813.0
Mejor fitness en iteración 72: 5813.0
Mejor fitness en iteración 73: 5813.0
Mejor fitness en iteración 74: 5813.0
Mejor fitness en iteración 75: 5813.0
Mejor fitness en iteración 76: 5813.0
Mejor fitness en iteración 77: 5797.0
Mejor fitness en iteración 78: 5797.0
Mejor fitness en iteración 79: 5797.0
Mejor fitness en iteración 80: 5797.0
Mejor fitness en iteración 81: 5796.0
Mejor fitness en iteración 82: 5796.0
Mejor fitness en iteración 83: 5796.0
Mejor fitness en iteración 84: 5796.0
Mejor fitness en iteración 85: 5796.0
Mejor fitness en iteración 86: 5788.0
Mejor fitness en iteración 87: 5782.0
Mejor fitness en iteración 88: 5782.0
Mejor fitness en iteración 89: 5782.0
Mejor fitness en iteración 90: 5782.0
Mejor fitness en iteración 91: 5782.0
Mejor fitness en iteración 92: 5782.0
Mejor fitness en iteración 93: 5782.0
Mejor fitness en iteración 94: 5782.0
Mejor fitness en iteración 95: 5780.0
Mejor fitness en iteración 96: 5780.0
Mejor fitness en iteración 97: 5780.0
Mejor fitness en iteración 98: 5780.0
Mejor fitness en iteración 99: 5780.0
Mejor fitness en iteración 100: 5780.0
Mejor fitness en iteración 101: 5780.0
Mejor fitness en iteración 102: 5780.0
Mejor fitness en iteración 103: 5780.0
Mejor fitness en iteración 104: 5780.0
Mejor fitness en iteración 105: 5780.0
Mejor fitness en iteración 106: 5771.0
Mejor fitness en iteración 107: 5771.0
Mejor fitness en iteración 108: 5771.0
Mejor fitness en iteración 109: 5771.0
Mejor fitness en iteración 110: 5771.0
Mejor fitness en iteración 111: 5771.0
Mejor fitness en iteración 112: 5771.0
Mejor fitness en iteración 113: 5771.0
Mejor fitness en iteración 114: 5771.0
Mejor fitness en iteración 115: 5771.0
Mejor fitness en iteración 116: 5771.0
Mejor fitness en iteración 117: 5771.0
Mejor fitness en iteración 118: 5771.0
Mejor fitness en iteración 119: 5771.0
Mejor fitness en iteración 120: 5771.0
Mejor fitness en iteración 121: 5771.0
Mejor fitness en iteración 122: 5771.0
Mejor fitness en iteración 123: 5771.0
Mejor fitness en iteración 124: 5771.0
Mejor fitness en iteración 125: 5771.0
Mejor fitness en iteración 126: 5771.0
Mejor fitness en iteración 127: 5771.0
Mejor fitness en iteración 128: 5771.0
Mejor fitness en iteración 129: 5770.0
Mejor fitness en iteración 130: 5770.0
Mejor fitness en iteración 131: 5756.0
Mejor fitness en iteración 132: 5756.0
Mejor fitness en iteración 133: 5752.0
Mejor fitness en iteración 134: 5752.0
Mejor fitness en iteración 135: 5752.0
Mejor fitness en iteración 136: 5752.0
Mejor fitness en iteración 137: 5752.0
Mejor fitness en iteración 138: 5752.0
Mejor fitness en iteración 139: 5752.0
Mejor fitness en iteración 140: 5752.0
Mejor fitness en iteración 141: 5752.0
Mejor fitness en iteración 142: 5752.0
Mejor fitness en iteración 143: 5752.0
Mejor fitness en iteración 144: 5752.0
Mejor fitness en iteración 145: 5720.0
Mejor fitness en iteración 146: 5708.0
Mejor fitness en iteración 147: 5708.0
Mejor fitness en iteración 148: 5708.0
Mejor fitness en iteración 149: 5708.0
Mejor fitness en iteración 150: 5708.0
Mejor fitness en iteración 151: 5708.0
Mejor fitness en iteración 152: 5708.0
Mejor fitness en iteración 153: 5708.0
Mejor fitness en iteración 154: 5708.0
Mejor fitness en iteración 155: 5708.0
Mejor fitness en iteración 156: 5708.0
Mejor fitness en iteración 157: 5708.0
Mejor fitness en iteración 158: 5708.0
Mejor fitness en iteración 159: 5708.0
Mejor fitness en iteración 160: 5708.0
Mejor fitness en iteración 161: 5708.0
Mejor fitness en iteración 162: 5708.0
Mejor fitness en iteración 163: 5708.0
Mejor fitness en iteración 164: 5708.0
Mejor fitness en iteración 165: 5708.0
Mejor fitness en iteración 166: 5708.0
Mejor fitness en iteración 167: 5708.0
Mejor fitness en iteración 168: 5708.0
Mejor fitness en iteración 169: 5708.0
Mejor fitness en iteración 170: 5708.0
Mejor fitness en iteración 171: 5708.0
Mejor fitness en iteración 172: 5708.0
Mejor fitness en iteración 173: 5708.0
Mejor fitness en iteración 174: 5708.0
Mejor fitness en iteración 175: 5708.0
Mejor fitness en iteración 176: 5708.0
Mejor fitness en iteración 177: 5706.0
Mejor fitness en iteración 178: 5706.0
Mejor fitness en iteración 179: 5706.0
Mejor fitness en iteración 180: 5706.0
Mejor fitness en iteración 181: 5706.0
Mejor fitness en iteración 182: 5706.0
Mejor fitness en iteración 183: 5706.0
Mejor fitness en iteración 184: 5706.0
Mejor fitness en iteración 185: 5706.0
Mejor fitness en iteración 186: 5706.0
Mejor fitness en iteración 187: 5706.0
Mejor fitness en iteración 188: 5706.0
Mejor fitness en iteración 189: 5706.0
Mejor fitness en iteración 190: 5706.0
Mejor fitness en iteración 191: 5706.0
Mejor fitness en iteración 192: 5706.0
Mejor fitness en iteración 193: 5706.0
Mejor fitness en iteración 194: 5706.0
Mejor fitness en iteración 195: 5706.0
Mejor fitness en iteración 196: 5706.0
Mejor fitness en iteración 197: 5706.0
Mejor fitness en iteración 198: 5706.0
Mejor fitness en iteración 199: 5706.0
Mejor fitness en iteración 200: 5706.0
Mejor fitness en iteración 201: 5706.0
Mejor fitness en iteración 202: 5706.0
Mejor fitness en iteración 203: 5706.0
Mejor fitness en iteración 204: 5706.0
Mejor fitness en iteración 205: 5706.0
Mejor fitness en iteración 206: 5702.0
Mejor fitness en iteración 207: 5702.0
Mejor fitness en iteración 208: 5702.0
Mejor fitness en iteración 209: 5702.0
Mejor fitness en iteración 210: 5702.0
Mejor fitness en iteración 211: 5696.0
Mejor fitness en iteración 212: 5692.0
Mejor fitness en iteración 213: 5692.0
Mejor fitness en iteración 214: 5680.0
Mejor fitness en iteración 215: 5680.0
Mejor fitness en iteración 216: 5674.0
Mejor fitness en iteración 217: 5674.0
Mejor fitness en iteración 218: 5674.0
Mejor fitness en iteración 219: 5674.0
Mejor fitness en iteración 220: 5674.0
Mejor fitness en iteración 221: 5674.0
Mejor fitness en iteración 222: 5674.0
Mejor fitness en iteración 223: 5674.0
Mejor fitness en iteración 224: 5674.0
Mejor fitness en iteración 225: 5674.0
Mejor fitness en iteración 226: 5674.0
Mejor fitness en iteración 227: 5674.0
Mejor fitness en iteración 228: 5668.0
Mejor fitness en iteración 229: 5668.0
Mejor fitness en iteración 230: 5668.0
Mejor fitness en iteración 231: 5668.0
Mejor fitness en iteración 232: 5668.0
Mejor fitness en iteración 233: 5668.0
Mejor fitness en iteración 234: 5668.0
Mejor fitness en iteración 235: 5668.0
Mejor fitness en iteración 236: 5668.0
Mejor fitness en iteración 237: 5668.0
Mejor fitness en iteración 238: 5668.0
Mejor fitness en iteración 239: 5668.0
Mejor fitness en iteración 240: 5668.0
Mejor fitness en iteración 241: 5668.0
Mejor fitness en iteración 242: 5668.0
Mejor fitness en iteración 243: 5667.0
Mejor fitness en iteración 244: 5667.0
Mejor fitness en iteración 245: 5667.0
Mejor fitness en iteración 246: 5667.0
Mejor fitness en iteración 247: 5667.0
Mejor fitness en iteración 248: 5667.0
Mejor fitness en iteración 249: 5667.0
Mejor fitness en iteración 250: 5667.0
Mejor fitness en iteración 251: 5667.0
Mejor fitness en iteración 252: 5667.0
Mejor fitness en iteración 253: 5665.0
Mejor fitness en iteración 254: 5665.0
Mejor fitness en iteración 255: 5665.0
Mejor fitness en iteración 256: 5665.0
Mejor fitness en iteración 257: 5665.0
Mejor fitness en iteración 258: 5665.0
Mejor fitness en iteración 259: 5665.0
Mejor fitness en iteración 260: 5665.0
Mejor fitness en iteración 261: 5665.0
Mejor fitness en iteración 262: 5665.0
Mejor fitness en iteración 263: 5665.0
Mejor fitness en iteración 264: 5665.0
Mejor fitness en iteración 265: 5665.0
Mejor fitness en iteración 266: 5665.0
Mejor fitness en iteración 267: 5665.0
Mejor fitness en iteración 268: 5665.0
Mejor fitness en iteración 269: 5663.0
Mejor fitness en iteración 270: 5665.0
Mejor fitness en iteración 271: 5665.0
