Configuración utilizada:
Operador de selección: Por Torneo con tamaño de torneo: 2 individuos
Operador de cruce: Cruce de Orden
Operador de mutación: Mutación por Inversión. Probabilidad: 0.4
Selector de sobrevivientes: Steady State con reemplazo de 175
Fitness mejor solución:    5625.0
Costo promedio (Población): 6137,15
Tiempo total de ejecución: 5188.0 ms
Tiempo promedio por generación: 1,04 ms

Evolución del Fitness en el tiempoMejor fitness en iteración 1: 12270.0 Diferencia: -15737.0
Mejor fitness en iteración 2: 11881.0 Diferencia: -16005.0
Mejor fitness en iteración 3: 11812.0 Diferencia: -10968.0
Mejor fitness en iteración 4: 11691.0 Diferencia: -11041.0
Mejor fitness en iteración 5: 11691.0 Diferencia: -10870.0
Mejor fitness en iteración 6: 11670.0 Diferencia: -10983.0
Mejor fitness en iteración 7: 11588.0 Diferencia: -5802.0
Mejor fitness en iteración 8: 6396.0 Diferencia: -10932.0
Mejor fitness en iteración 9: 6364.0 Diferencia: -10908.0
Mejor fitness en iteración 10: 6312.0 Diferencia: -10888.0
Mejor fitness en iteración 11: 6312.0 Diferencia: -10864.0
Mejor fitness en iteración 12: 6280.0 Diferencia: -5852.0
Mejor fitness en iteración 13: 6233.0 Diferencia: -5651.0
Mejor fitness en iteración 14: 6192.0 Diferencia: -5640.0
Mejor fitness en iteración 15: 6182.0 Diferencia: -5604.0
Mejor fitness en iteración 16: 6161.0 Diferencia: -5581.0
Mejor fitness en iteración 17: 6158.0 Diferencia: -5553.0
Mejor fitness en iteración 18: 6100.0 Diferencia: -5597.0
Mejor fitness en iteración 19: 6029.0 Diferencia: -5615.0
Mejor fitness en iteración 20: 6029.0 Diferencia: -5555.0
Mejor fitness en iteración 21: 6029.0 Diferencia: -5669.0
Mejor fitness en iteración 22: 6022.0 Diferencia: -5614.0
Mejor fitness en iteración 23: 6022.0 Diferencia: -5660.0
Mejor fitness en iteración 24: 6017.0 Diferencia: -5631.0
Mejor fitness en iteración 25: 6017.0 Diferencia: -5609.0
Mejor fitness en iteración 26: 5952.0 Diferencia: -5621.0
Mejor fitness en iteración 27: 5952.0 Diferencia: -5579.0
Mejor fitness en iteración 28: 5950.0 Diferencia: -5546.0
Mejor fitness en iteración 29: 5950.0 Diferencia: -5555.0
Mejor fitness en iteración 30: 5950.0 Diferencia: -5564.0
Mejor fitness en iteración 31: 5946.0 Diferencia: -5581.0
Mejor fitness en iteración 32: 5934.0 Diferencia: -5563.0
Mejor fitness en iteración 33: 5934.0 Diferencia: -5551.0
Mejor fitness en iteración 34: 5912.0 Diferencia: -5466.0
Mejor fitness en iteración 35: 5912.0 Diferencia: -5486.0
Mejor fitness en iteración 36: 5912.0 Diferencia: -5456.0
Mejor fitness en iteración 37: 5910.0 Diferencia: -5407.0
Mejor fitness en iteración 38: 5900.0 Diferencia: -5493.0
Mejor fitness en iteración 39: 5900.0 Diferencia: -5494.0
Mejor fitness en iteración 40: 5899.0 Diferencia: -5489.0
Mejor fitness en iteración 41: 5890.0 Diferencia: -5536.0
Mejor fitness en iteración 42: 5888.0 Diferencia: -5463.0
Mejor fitness en iteración 43: 5866.0 Diferencia: -5517.0
Mejor fitness en iteración 44: 5866.0 Diferencia: -5448.0
Mejor fitness en iteración 45: 5849.0 Diferencia: -5481.0
Mejor fitness en iteración 46: 5849.0 Diferencia: -5532.0
Mejor fitness en iteración 47: 5825.0 Diferencia: -5481.0
Mejor fitness en iteración 48: 5825.0 Diferencia: -5505.0
Mejor fitness en iteración 49: 5825.0 Diferencia: -5503.0
Mejor fitness en iteración 50: 5825.0 Diferencia: -5475.0
Mejor fitness en iteración 51: 5804.0 Diferencia: -5483.0
Mejor fitness en iteración 52: 5803.0 Diferencia: -5454.0
Mejor fitness en iteración 53: 5803.0 Diferencia: -5498.0
Mejor fitness en iteración 54: 5779.0 Diferencia: -5555.0
Mejor fitness en iteración 55: 5779.0 Diferencia: -5504.0
Mejor fitness en iteración 56: 5779.0 Diferencia: -5489.0
Mejor fitness en iteración 57: 5779.0 Diferencia: -5482.0
Mejor fitness en iteración 58: 5753.0 Diferencia: -5497.0
Mejor fitness en iteración 59: 5753.0 Diferencia: -5474.0
Mejor fitness en iteración 60: 5753.0 Diferencia: -5447.0
Mejor fitness en iteración 61: 5753.0 Diferencia: -5469.0
Mejor fitness en iteración 62: 5753.0 Diferencia: -5447.0
Mejor fitness en iteración 63: 5753.0 Diferencia: -5482.0
Mejor fitness en iteración 64: 5753.0 Diferencia: -5396.0
Mejor fitness en iteración 65: 5743.0 Diferencia: -5430.0
Mejor fitness en iteración 66: 5743.0 Diferencia: -5392.0
Mejor fitness en iteración 67: 5737.0 Diferencia: -5384.0
Mejor fitness en iteración 68: 5735.0 Diferencia: -5409.0
Mejor fitness en iteración 69: 5729.0 Diferencia: -5414.0
Mejor fitness en iteración 70: 5729.0 Diferencia: -5414.0
Mejor fitness en iteración 71: 5709.0 Diferencia: -5469.0
Mejor fitness en iteración 72: 5709.0 Diferencia: -5475.0
Mejor fitness en iteración 73: 5689.0 Diferencia: -5463.0
Mejor fitness en iteración 74: 5685.0 Diferencia: -5449.0
Mejor fitness en iteración 75: 5685.0 Diferencia: -5453.0
Mejor fitness en iteración 76: 5685.0 Diferencia: -5432.0
Mejor fitness en iteración 77: 5685.0 Diferencia: -5417.0
Mejor fitness en iteración 78: 5685.0 Diferencia: -5458.0
Mejor fitness en iteración 79: 5685.0 Diferencia: -5418.0
Mejor fitness en iteración 80: 5685.0 Diferencia: -5413.0
Mejor fitness en iteración 81: 5683.0 Diferencia: -5405.0
Mejor fitness en iteración 82: 5683.0 Diferencia: -5418.0
Mejor fitness en iteración 83: 5683.0 Diferencia: -5393.0
Mejor fitness en iteración 84: 5683.0 Diferencia: -5421.0
Mejor fitness en iteración 85: 5681.0 Diferencia: -5404.0
Mejor fitness en iteración 86: 5681.0 Diferencia: -5429.0
Mejor fitness en iteración 87: 5679.0 Diferencia: -5374.0
Mejor fitness en iteración 88: 5679.0 Diferencia: -5402.0
Mejor fitness en iteración 89: 5677.0 Diferencia: -5362.0
Mejor fitness en iteración 90: 5677.0 Diferencia: -5424.0
Mejor fitness en iteración 91: 5677.0 Diferencia: -5387.0
Mejor fitness en iteración 92: 5671.0 Diferencia: -5434.0
Mejor fitness en iteración 93: 5671.0 Diferencia: -5433.0
Mejor fitness en iteración 94: 5669.0 Diferencia: -5413.0
Mejor fitness en iteración 95: 5669.0 Diferencia: -5396.0
Mejor fitness en iteración 96: 5661.0 Diferencia: -5376.0
Mejor fitness en iteración 97: 5661.0 Diferencia: -5381.0
Mejor fitness en iteración 98: 5659.0 Diferencia: -5394.0
Mejor fitness en iteración 99: 5659.0 Diferencia: -5407.0
Mejor fitness en iteración 100: 5659.0 Diferencia: -5400.0
Mejor fitness en iteración 101: 5659.0 Diferencia: -5406.0
Mejor fitness en iteración 102: 5659.0 Diferencia: -5399.0
Mejor fitness en iteración 103: 5659.0 Diferencia: -5402.0
Mejor fitness en iteración 104: 5659.0 Diferencia: -5376.0
Mejor fitness en iteración 105: 5659.0 Diferencia: -5366.0
Mejor fitness en iteración 106: 5659.0 Diferencia: -5367.0
Mejor fitness en iteración 107: 5659.0 Diferencia: -5384.0
Mejor fitness en iteración 108: 5659.0 Diferencia: -5417.0
Mejor fitness en iteración 109: 5659.0 Diferencia: -5411.0
Mejor fitness en iteración 110: 5659.0 Diferencia: -5424.0
Mejor fitness en iteración 111: 5659.0 Diferencia: -5394.0
